country,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,GDP per capita
Argentina,45.94355692085825,11.575521737710519,2736690.0,591.0,5.481603897331393,-0.34692160878330475,0.15452176084121064,96.83588889856459,9.47258064516129,1994.7504108410265,146091.10967741936,320056.29142258066,13.782225186686784,,-4.6894895223686754,,0.49609884390464204,,10.465761446513493,18.421898871767063,-0.07553161956214645,0.2019440351674954,0.60476712846756,126.0,146.70000000000002,66.43303571428571,33.19555871284849,2.967014857142857,1.2132037046697914,309921093855.0612,-0.06269498055917212,0.24829460494220254,-0.5133456646775205,0.15682003709177167,-0.5255096877614659,0.2012785331656534,4.01849751919508,5.266298123809524,,45.800000000000004,19.171,7.771282051282051,73.99751282051282,37930606.65,3979738.15,0.40665429333845776,0.1382457253833612,6.2654547625084245,7803.654584584225
Armenia,53.73834445615267,11.636382156656131,28470.0,562.0,22.15680892610808,-0.5554503937407086,0.1698294902841251,99.50101060347123,8.736774193548388,1569.7215742459664,5713.2190322580645,9033.67777264516,107.43329352534829,126.84553682248351,15.279523095988438,7.888272684806458,0.23438640058040622,57.83666482045437,18.74948103525883,22.036821332900494,-0.22971241517613328,0.22268635158737507,0.5775749197006222,47.0,15.733333333333334,81.99166666666667,22.602287971125,2.4583194285714285,3.624916668533089,6898248877.608378,-0.27584208697468665,0.27647786587476736,-0.3553828907509646,0.16820818309982621,0.1524243809593221,0.21018397932251295,2.667407231330871,1.4945865842857142,29.419999999999998,31.56086956521739,14.77328125,9.03975,71.7783125,3082224.696969697,1095017.5757575757,-0.47553954801211756,0.1505638950814803,3.1831758229343876,2358.246975367936
Aruba,11.1111111111111,2.33333333333333,180.0,,96.75371830420654,1.139386547239203,0.3215362978608985,99.45648088738398,2.8059375,,,,495.45138888888897,2.9257833471119867,6.64721915238473,,,,,,1.133991893969084,0.35524383971565643,,,,,36.29888713503846,,,2048886437.6608417,1.276862608759026,0.2930691469656794,1.1622112016928818,0.2641490807658748,1.0875310897827144,0.3444860530527014,5.32576353409711,,,,14.055333333333333,7.190166666666666,74.19463888888889,89647.83783783784,48756.13513513513,1.1683587055457263,0.30158559272163804,3.9915046575717565,21735.275012557337
Australia,58.49265278749312,17.200379780587713,7683256.065573771,534.0,8.956950601133553,1.8690128525098162,0.1562689362714688,100.0,8.385806451612902,7090.209793758872,350865.6548387097,582287.9824096775,2.273259963197639,4.689098652188123,3.5040115844688478,2.5015240732477504,1.9491584667792685,32.39955302999205,21.89561468581063,24.803255020007793,1.6610912581284847,0.21829778390626123,0.7772293157577514,14.0,,88.25208333333335,54.527778917896555,3.7734515714285712,2.2314313442317095,502840207355.8461,0.9813215757409735,0.24739975854754434,1.7302952110767358,0.16637310882409415,1.7265004118283596,0.22679211882253492,5.176331617893317,6.347209021904762,,33.516666666666666,15.61774193548387,7.333870967741936,76.82360346184109,17488378.666666668,2626768.380952381,1.399089694023132,0.15769983517626915,1.423469804961856,23728.686563341304
Austria,36.70455146492058,46.62799359246243,82520.0,1110.0,27.088266084959212,1.6486806174119308,0.16124471773703897,100.0,28.76322580645161,5393.980049201115,65519.33870967742,80188.58365225806,95.658966927044,3.2996095826886975,,,2.525695383548736,80.36853404584305,22.430874931191898,40.80729666963065,1.6619660506645841,0.21051065996289267,0.7615487469434741,27.0,96.2,89.2015476190476,51.64829080730303,3.9266531428571425,1.149552959083979,192094839945.44266,1.0967105949918425,0.25049303906659276,1.8280324637889862,0.1648482295374075,1.4838394125302623,0.22679211882253492,5.256910810470581,7.33701185952381,18.263636363636365,30.176923076923078,12.040322580645162,10.95,75.49940991345399,7898568.968253968,3012857.777777778,1.3867747584978731,0.15233550003419324,0.8417757956560601,23179.650316176787
Azerbaijan,56.85379704113526,12.420342269729932,82777.26666666666,447.0,20.89678713723128,-1.0847096368670464,0.16043446337183317,99.55646857648895,2.288064516129032,2086.965577419937,32714.570967741933,48730.80727129032,105.37399517559439,108.18020406291627,9.994835133608943,9.270428599083727,0.2496050000190736,11.25391046563633,14.193998686104257,22.834326097756154,-0.5543702086433768,0.21584931450585532,0.5753842734098432,28.0,11.566666666666668,66.88178571428571,31.618911313933335,2.464594,3.404658066878312,29420997152.957844,-0.7411129095902044,0.2618064340204001,-0.8202803060412408,0.15740064531564713,-0.4773112712427974,0.20810735846559217,3.169596408094678,1.0117925157142857,,29.416666666666668,17.3625,6.16875,67.0980625,8673193.575757576,4026172.1515151514,-1.3069318284591047,0.14335891200850412,3.209477399056902,3151.89635773323
"Bahamas, The",1.1021765120125784,50.9350649350649,10010.0,1292.0,53.11379470436717,1.2644202907880147,0.2744764387607574,100.0,0.958125,,2123.745161290323,2371.6034816774195,27.651831774782597,4.053996693357307,3.1954423796078406,3.696178546232268,,40.091419920215515,12.933436461954539,15.725941266566418,0.9119812759260335,0.2914677330603202,,119.0,17.4,48.74636904761905,36.28504346825,2.731817166666667,,5036381414.795618,0.9433777679999666,0.2812615372240544,0.7548467687641581,0.22557375269631544,0.5867198358124974,0.2741068049023549,2.6477900101588316,2.324091195714286,,,22.40843548387097,6.457048387096774,69.46875806451614,276332.84126984124,59727.57142857143,0.9889445702234906,0.19411405796806025,21.0557160010084,14831.081737875893
Bahrain,12.966999453321023,0.6103022580862553,728.5714285714286,83.0,33.23830120022035,0.20715693105012176,0.20012180569271246,99.99665260314941,0.0,16605.725311463968,21281.904516129034,33707.416612258065,1145.1075924856382,1.5397177229275152,6.869447559157994,5.175641529446671,0.101159997284412,21.422124462190347,4.833821778906244,25.572796003214908,0.45139073704679805,0.22188034715751803,0.6473207665681839,43.0,,54.00053571428572,42.697358879375,3.1995910000000003,4.641969899413979,16101033255.288492,-0.45629006046025694,0.259854103748997,0.42452548622774583,0.1805386717120806,0.688497580587864,0.22934714704751955,2.553132491452353,2.568867572857143,,,21.312,2.661095238095238,75.64195238095238,864620.3488372093,98417.97674418605,-1.089448335270087,0.14928783134867743,0.6181902378882502,15487.980671491578
Bangladesh,74.29579226156967,14.61508539313974,130170.0,2666.0,4.381245789139809,-1.0820966064929958,0.16423695782820383,49.28641519965097,49.37935483870968,95.75697420078195,41509.12580645161,140792.83207096776,840.9738090290496,6.2793951304441205,5.054712066189419,5.544352211420609,,31.510095595475196,7.5968698513679795,8.57759317376944,-0.7550611657400926,0.20353607150415576,0.46719657309850066,168.0,22.633333333333336,61.921547619047615,6.9323667721612905,2.602873666666667,1.1825893995843584,77220660728.43944,-1.189114450166623,0.25308241074283905,-0.8214067791899048,0.16079604377349224,-0.9398278122146922,0.19685756415128705,1.7398877176973557,0.5441314119047619,,30.660000000000004,34.904177419354845,12.21816129032258,57.98841935483871,109511523.8888889,83671723.15873016,-0.48791287854934734,0.13813297171145675,2.647771637752063,539.2808289974942
Barbados,38.59011627906977,14.6511627906977,430.0,1422.0,43.24923581343816,1.40490037202835,0.25341669904688985,99.99173259735107,6.6484375,,1223.8496774193547,3588.5364426774195,615.8171027131783,5.78804885505527,5.878995871397855,4.8143452381924625,,99.75345777714784,25.246765229102834,31.552895297851347,1.1357789325217407,0.3040135428309441,,128.0,49.3,64.6275,42.25033298346875,,,2891591938.585317,1.0822522441546125,0.2973649296909571,0.988608342905839,0.21803113073110583,0.7550991276899972,0.28964878432452684,5.342767028808592,3.4518952938095233,,,14.579500000000001,9.0644375,73.94122916666667,265144.89795918367,172451.02040816325,1.1252437680959693,0.19185062063237027,9.76574695746172,10692.286126326797
Belarus,43.94215429167027,41.56590025291814,202898.66666666666,618.0,14.493065521417021,-0.4321197193154754,0.17324606329202663,96.15356648763021,5.872413793103449,3273.1405656063084,58874.64137931035,90389.20411344829,47.910800662647475,173.49474355364993,-19.39330058327932,,0.6596211596177173,22.721891470946296,17.440359913639092,29.07822165717566,-0.8313364802549281,0.25325059021512664,0.700078189373016,49.0,31.96666666666667,76.83690476190476,34.45799658589286,2.5745666666666667,1.4839428990516679,40055394832.78121,0.07851744559593499,0.2775901605685552,-1.0220174665252373,0.1739952638745307,-1.185276856025059,0.21908499176303545,5.259630316779727,3.9281704657142855,,27.8,10.441766666666666,13.676566666666668,70.49995447154471,9705084.096774194,2596165.6129032257,-1.4641736969351768,0.14932489053656664,6.12378050891611,4203.537848250272
Belgium,44.95241668668188,22.588980124894928,30280.0,847.0,38.98028788351593,1.4378620435794198,0.16256210828820866,100.0,4.434193548387097,5672.319538830961,106140.54516129031,125110.8670483871,360.6603083343341,3.4956116200693614,,,2.227234239761647,106.06019635288376,25.085864083239176,42.89441174489984,1.5396026074886324,0.21169125412901257,0.7582265661954878,46.0,95.5,82.02755952380951,51.33491407572727,4.000456857142857,2.1231044459067787,236670540707.0682,0.7702138014137742,0.25049303906659276,1.3549161205689124,0.1651702933013439,1.26960988342762,0.2271261500815551,5.692327557383357,7.501452218571429,20.581818181818182,27.836,12.524193548387096,10.850000000000001,75.7994177812746,10214824.888888888,398817.9682539682,1.3580423792203267,0.15233550003419324,1.5735277276835067,22131.09768081366
Belize,5.436930883061068,62.45862560280579,22810.0,1705.0,31.673368994401446,-0.15975438981937864,0.2918950331707795,84.5321615720922,34.90375,,484.61290322580646,2495.7023742580645,9.365582394836894,2.4159985718424597,10.789285485968067,8.87302695500823,,50.80359558283712,16.427326761904176,16.935034305196147,-0.2037761025130749,0.30876514253516985,,135.0,1.9,57.02511904761906,22.426683250700002,,0.9654677364187818,861421403.4663717,0.2195927902648692,0.2962564527988435,-0.399672786006704,0.22102953493595132,-0.28267077387621,0.2791193357358376,5.014829540252686,3.3650803666666667,,57.73333333333333,33.08725806451613,6.8509032258064515,67.98583870967742,214730.79365079364,113772.44444444444,0.6572773071626823,0.2006525925050178,32.31898831270058,3057.9349777151865
Benin,23.34059281572933,34.538178432068115,112760.0,1039.0,11.834489414405384,-0.5489637426411113,0.20024266901115576,29.685524262648364,65.10774193548387,46.99227645150133,3281.201935483871,8870.46292283871,54.63292994260261,3.9653524091941765,3.62534918729266,,,,12.26984692643895,,-0.5090346056967974,0.20768161118030537,0.3922064631581308,149.0,30.7,53.49690476190477,5.7214757999375,2.6755638571428575,1.2014716259122684,4468329202.691878,0.25150337590215094,0.2873122127105792,-0.5065097059123217,0.17740511583785204,-0.456233762204647,0.2050279832134645,2.9049809694290163,0.6974787357142856,,40.42,43.66612903225807,16.44267741935484,51.33654838709678,6216668.380952381,3886424.0317460317,0.18884808779694137,0.1517253816127778,1.1274974068,517.2553637560928
Bermuda,6.1020036429872535,18.5185185185185,54.0,,34.7018020138374,1.260727485020955,0.4201159439980983,100.0,0.4903125,,,,1081.9593199757132,,,,0.19589384559255388,,,,1.1320169369379671,0.4086853495488563,,,,,53.75612499875,,,2825721959.0965447,0.8931456034382181,0.36450067907571787,0.9082085942694295,0.42532839874426526,1.2075272972385092,0.42443091794848425,2.3027469146819337,,,,13.544999999999998,7.4911111111111115,74.87191935483871,58284.22222222222,0.0,1.0565775593121844,0.4484850923220316,5.817054742549814,44933.280796497296
Bhutan,12.61187441178509,66.9410025291775,41389.857142857145,2200.0,14.277571214101734,1.0521614473799006,0.23618593423262874,75.29782676822127,90.528125,,581.0364516129033,1237.2206224516128,15.080135924687387,7.324522624809264,7.681705193121752,,,65.20023591610553,9.25553091957885,19.892536890176764,0.4617001336553823,0.26935244967108185,0.475297033786774,89.0,10.25,52.261944444444474,19.88842906851724,2.3069276666666667,,925869512.9336107,0.8914188561232195,0.30386634818885644,0.32505963742732996,0.22020815960738965,-0.6468804747514101,0.2468144025491632,5.822039323694567,2.768780777142857,9.1,38.8,27.271119047619045,9.428333333333333,62.070452380952375,611217.7142857143,440443.88095238095,-0.49832444196647946,0.1653515890888546,2.503125613717603,1338.1217031379817
