country,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Belarus,1318.2646287501082,1246.9770075875442,6086960.0,17922.0,434.79196564251066,-10.37087326357141,4.157905519008639,3084.6069946289062,172.23,84088.9975718857,1903412.4,2900084.98759,1437.3240198794242,5204.842306609497,-601.1923180816589,0.0,17.15015015006065,590.7691782446037,523.2107974091728,872.3466497152698,-19.952075526118275,6.078014165163039,0.700078189373016,49.0,95.9,537.8583333333333,964.823904405,15.4474,46.0022298706017,1241717239816.2175,1.8844186943024397,6.662163853645325,-24.528419196605697,4.175886332988737,-28.44664454460142,5.258039802312851,110.45223665237427,82.49157978,0.0,639.4,860.535,693.327,4370.330780487806,599541005.0,225969252.0,-35.140168726444244,3.583797372877599,156.2885066898572
Belgium,988.9531671070013,496.95756274768837,666160.0,50820.0,818.5860455538345,34.508689045906074,3.901490598917008,3200.0,137.46,311977.5746357029,3290356.9,3878436.8785,7934.52678335535,220.22353206436978,0.0,0.0,57.908090233802824,2863.6253015278617,677.3183302474578,1158.1491171122957,36.95046257972718,5.080590099096302,3.032906264781951,46.0,95.5,574.1929166666666,1694.052164499,28.003198,133.75558009212705,14910244064545.297,18.48513123393058,6.011832937598226,32.5179868936539,3.964087039232253,30.47063720226288,5.451027601957322,210.6161196231842,157.53049659,226.4,695.9,776.5,672.7,4699.563902439025,643533968.0,25125532.0,32.59301710128784,3.656052000820638,18.88233273220208
Belize,331.65278386672514,1998.6760192897852,1391410.0,102300.0,1235.2613907816565,-3.8341053556650877,7.005480796098708,2620.4970087348584,1116.92,0.0,15023.0,77366.773602,571.3005260850505,101.4719400173833,442.36070492469076,363.79410515533743,0.0,1016.0719116567424,459.9651493333169,474.1809605454921,-4.890626460313798,7.410363420844076,0.0,135.0,1.9,399.1758333333334,672.800497521,0.0,35.72230624749493,54269548418.38142,5.27022696635686,7.110154867172244,-9.592146864160895,5.304708838462831,-6.7840985730290395,6.698864057660102,100.29659080505371,70.6666877,0.0,346.4,2051.41,424.756,4215.122,13528040.0,7167664.0,15.774655371904375,4.815662220120427,711.0177428794128
Benin,1423.7761617594892,1105.2217098261797,6878360.0,62340.0,568.0554918914585,-13.175129823386671,4.805824056267738,771.8236308288575,2018.34,2067.6601638660586,101717.26,274984.350608,3332.608726498759,118.9605722758253,61.63093618397522,0.0,0.0,0.0,49.0793877057558,0.0,-12.216830536723137,4.984358668327329,1.5688258526325232,149.0,30.7,374.4783333333334,183.087225598,18.728947,61.275052921525685,281504739769.5883,6.036081021651622,6.895493105053902,-12.156232941895722,4.257722780108449,-10.949610292911528,4.920671597123148,72.6245242357254,14.64705345,0.0,202.1,2707.3,1019.446,3182.866,391650108.0,244844714.0,4.532354107126593,3.641409158706667,1.1274974068
Bermuda,372.22222222222246,592.592592592592,3294.0,0.0,555.2288322213984,30.257459640502923,10.08278265595436,3200.0,15.69,0.0,0.0,0.0,65999.51851851851,0.0,0.0,0.0,2.5466199927032003,0.0,0.0,0.0,27.168406486511213,9.808448389172552,0.0,0.0,0.0,0.0,1505.171499965,0.0,0.0,178020483423.0823,21.435494482517235,8.748016297817228,21.797006262466308,10.207881569862366,28.98065513372422,10.186342030763623,48.35768520832061,0.0,0.0,0.0,541.8,337.1,4642.059,3671906.0,0.0,15.848663389682766,6.727276384830474,174.51164227649443
Bhutan,684.119460264903,2142.11208093368,2626111.0,132000.0,236.43014923374423,25.713972628116622,5.632629692554471,1656.552188900868,2896.9,0.0,18012.13,38353.839296,757.2518890907068,305.94459433114343,315.0239152546877,0.0,0.0,2021.2073133992715,351.7101749439963,755.916401826717,11.1751104593277,6.480150029063225,0.475297033786774,89.0,20.5,373.1587500000001,576.7644429869999,16.341566,0.0,38886519543.21165,21.36745142936707,7.237518072128296,8.148406222462652,5.249843552708625,-15.260221354663367,5.896841511130333,107.11645698547366,58.14439632,18.2,183.7,2086.375,873.09,3404.448,32463199.0,24556999.0,-11.30590617191047,3.943463295698166,75.09376841152809
Bolivia,1960.6854225976183,1597.1116295578327,66081300.0,67614.0,444.83304811730125,-16.343792647123337,3.954996541142463,2382.545731406982,770.86,15396.130119928443,407074.6,1270575.57222,420.9340856641741,14255.107452641147,589.5707756500225,352.6555492517811,2.249170005321503,442.7842416771649,257.7388158885032,431.6612171134226,-12.312866806983946,5.001931563019752,0.0,150.0,89.9,449.6283333333334,566.203698657,16.92222,113.5580769306952,696667894246.5405,-11.03040888905525,6.109678238630292,-21.759785592556007,3.848883748054505,-17.04947589756921,4.913446113467215,138.10750007629395,71.49498248,0.0,1203.7,2116.922,815.69,3498.962,471929520.0,197581532.0,-0.3392775782849648,3.276882179081441,33.28103284959509
Bosnia and Herzegovina,1271.47265625,1254.46962890625,1536000.0,29812.0,337.5834688428943,-10.129626691341402,3.894222348928449,3189.886656471735,678.72,52792.48554915258,519620.83,665881.265152,2247.043125,22.392058970670863,73.39502402138393,0.0,2.3923999927937984,520.8516396741635,358.5920082901343,654.54783760762,-18.734052747488036,5.562090590596197,1.816949098587036,90.0,88.3,438.8987499999999,947.237210735,19.263872,27.698280217295515,382677474457.9129,-10.808852653950456,6.589045897126199,-8.720826610922815,3.7961344122886658,-7.096161585301156,5.02521641552448,0.0,120.95053625,0.0,130.1,972.269,557.76,4397.737,246095922.0,153298518.0,-1.8116602110676456,3.561664551496506,30.904291506012367
Botswana,2791.984542904028,958.2016127609265,34570530.0,24960.0,804.0814984749774,20.5752511024475,4.055883646011353,1258.4165547180178,1088.93,36735.75975046171,137978.3135,419041.590281,150.9140366664902,430.19246187453535,133.2672836788338,0.0,1.361449956893921,323.39825651272724,554.9932155210406,701.4751199293389,10.43497437238693,4.92321768403053,1.618257110357285,87.0,40.9,399.6875000000001,528.764491952,13.798233,148.43651296716476,353308992718.80927,24.542868077754967,6.134028330445289,12.553812325000765,4.025367408990858,15.997826278209686,5.173118531703946,201.04854202270508,79.00127291,0.0,293.5,2233.561,656.747,3572.916,88670673.0,45729324.0,12.906961590051647,3.307397663593292,162.2607603612723
Brazil,1605.5276591442594,2044.6378281172606,509846540.0,106437.0,143.97876792752956,-4.396069841459393,3.711441785097119,3081.2679833339844,1417.46,66615.0956884089,10698529.8,27112466.3958,1093.2634149463877,11771.146927543869,1011.1986289503808,914.5403267373368,23.59210997819902,965.2127201775643,181.6779424484774,440.9934307469718,-5.298263970762491,4.840306460857392,2.190174160003661,124.0,79.7,536.4758333333332,1020.968848214,21.301935,113.97693839196246,43064856054297.67,-5.351620556320994,5.884831786155699,-5.516816329210995,3.754347637295721,0.9024193305522193,4.820222631096837,119.42793059349061,77.05314922,0.0,2139.8,1605.817,512.0360000000001,4059.36,9426054692.0,2312498420.0,10.017014026641846,3.301008172333242,768.7071241890528
British Virgin Islands,3086.6666666666665,779.9000000000001,9150.0,0.0,0.0,0.0,0.0,3126.2677047729494,31.72,0.0,0.0,0.0,7122.906666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.29143924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.01507997512823,0.0,0.0,0.0,1085.749,390.97499999999997,4419.995,1107591.0,685483.0,0.0,0.0,78.33133590633216
Brunei Darussalam,176.71726755218225,2374.0986717267547,321470.0,163320.0,373.86396490140595,14.608000278472897,6.541827648878097,3200.0,1.42,233837.71320260403,183069.1,245871.690917,3110.251423149905,61.359692714240495,65.8164510618232,0.0,0.34898000024259107,0.0,0.0,0.0,23.08019706606867,6.6352765262126905,0.626391351222992,66.0,0.0,189.31,1270.753436612,5.580492,157.70883594215886,373640437290.4026,28.37651461362839,6.862079694867134,14.150124482810496,5.907188519835473,22.99689769744873,7.073169052600858,99.99196040630342,42.17627597,0.0,0.0,1645.253,309.777,4346.316,16925373.0,5002159.0,-19.10271561145783,4.6380997300148,15.707837155001116
Bulgaria,3168.001731631515,1050.4179484260717,6707930.0,36480.0,846.0075288479128,-5.063335811719299,3.443012148141862,3067.3361434936523,317.96,179034.4560725751,1491656.8,1943381.13368,4519.321386821859,2004.1947109509829,154.2202277866597,66.5618125,15.292680114507675,843.4576130532157,620.8545226691483,780.6118457936476,-0.5047892089933159,4.877396225929261,2.596794665813446,61.0,128.70000000000002,567.6654166666669,1016.286101603,21.104836,75.38944412768966,1463187782447.945,6.83845266373828,6.028184249997137,-2.9257216341793524,3.569248609244822,12.686193391680717,4.797987088561055,120.25950646400452,84.17407559,453.7,599.9,758.2,769.9,4457.873414634147,511570921.0,188476605.0,10.8721262216568,3.220096521079539,94.41367214572557
Burkina Faso,2179.621710526316,811.870065789474,16689600.0,44880.0,184.71569521379976,-4.66215219348669,4.385707184672355,355.8762241172789,2625.53,0.0,62077.479999999996,625766.30011,2392.8169627192983,276.03181110850113,56.963247813286756,0.0,3.340360045433044,221.7588404671491,254.0575695452216,262.37278703882583,-17.04685527086258,4.726697847247123,1.450697195768357,151.0,35.8,391.2754166666666,100.133653548,17.07911,113.72841388998575,309550077226.5803,-12.649383969604955,6.450131028890609,-12.335121020674706,4.127161994576453,-7.750348225235939,4.664639636874199,80.55364882946012,33.45688511,0.0,296.8,2814.018,1093.522,3008.512,682131742.0,550020411.0,-6.649619556963443,3.301499225199223,11.927692999719733
Burundi,4589.6417445482875,289.38278816199403,1566480.0,76384.0,377.8969651559827,-28.325539469718933,5.01490657031536,138.4647607014819,2953.7400000000002,0.0,9337.166,72164.48636,14629.561409657323,554.5985686825306,198.62940892338622,0.0,0.953139998018742,1148.53144942601,238.69462921415396,206.8948201696692,-31.333514213562,5.094689846038817,1.4986209321022042,166.0,37.4,357.5825,32.404663473,11.035511,175.46801243884335,72276987894.37567,-41.07946455478666,7.034651726484298,-30.58647590875626,4.512363448739053,-26.348429739475254,5.050354421138763,129.67194128036496,45.2387786,64.8,185.1,2800.925,1058.61,2997.712,391323341.0,357802669.0,-28.427276968955997,3.714256152510643,25.72321157247383
Cabo Verde,1064.7642679900741,299.3722084367246,245830.0,13680.0,1537.8420864560744,20.414738088846203,5.7422754019498825,1708.8017517089843,813.78,0.0,12482.800000000001,17331.675674,6010.468734491317,146.82618658338106,115.9103969795797,128.27883147140471,0.0662200003862381,0.0,233.8557380035475,320.2419172530559,0.33140875748358684,4.871326595544816,0.0,137.0,48.900000000000006,410.1575,654.744978395,0.0,32.68977202382008,43221038643.33851,20.668784886598583,7.739874452352522,11.832250326871867,4.986872434616089,-3.5131713793234662,6.682825624942778,103.20958948135375,65.21683619,0.0,142.1,2101.392,579.995,3988.242,25025187.0,13398638.0,20.78134712576866,4.292791008949279,88.77334444098382
Cambodia,1450.8851869476548,1836.094833446635,10767720.0,114240.0,690.9848740840596,-28.03076756000521,4.084250181913376,992.3689176940918,1847.41,1840.8756089115363,155642.57,771482.4523,3494.6356163607525,123.16522955275032,0.0,0.0,0.1680300012230875,0.0,243.97747888583282,232.81334207493015,-18.943919837474827,5.324325829744339,1.475274740934371,144.0,33.0,412.7237500000001,281.989564972,17.951997,72.42986294320438,363260462250.2733,-7.890749873593447,6.461182102560999,-26.002267003059387,3.987768068909647,-11.223710283637047,4.994852349162101,34.46894645690918,28.44122637,0.0,0.0,2135.777,953.165,3318.927,639182597.0,523616663.0,-24.44435596466064,3.488907381892205,73.42971650414923
Cameroon,1153.00712910664,1440.3901334856466,28835310.0,96240.0,594.034589113577,-27.846401751041437,3.89945053309202,1503.1761573791507,2543.08,8841.65712806576,198937.1,2431907.19668,1701.4293562649405,303.8347827713799,0.0,0.0,0.0,568.8281060454468,184.84276382391525,215.22650183584756,-21.13207185268402,4.410379812121393,1.56450513625145,167.0,81.0,383.4225000000001,278.692615913,16.718115,73.78445442775454,901900667334.9749,-19.496641933918006,6.124372452497481,-26.9975636601448,3.719482034444809,-21.016348898410794,4.452033951878547,95.92347657680511,11.68028921,0.0,218.1,2640.523,912.469,3245.404,837314815.0,464353576.0,-25.398833692073833,3.286045134067536,60.26928542309733
