date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
1976-01-01,8263.944631371292,0.0,1123708863.17,197358.1,1220.1900242478087,0.0,0.0,0.0,0.0,256820.8026603836,0.0,0.0,56336.956459147754,1633.2457235290485,29.566795809886486,33.5832583356667,0.0,0.0,864.4078904422843,1155.9005956602184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.3940894845786,47623659971920.28,0.0,0.0,0.0,0.0,0.0,0.0,218.78256046772,0.0,0.0,63.2,8350.773095629493,3161.4244529919706,15167.60751704523,42922240679.0,28027816861.0,0.0,0.0,0.0
1977-01-01,8288.149543012021,0.0,1123708053.17,197337.1,1673.6697291154526,0.0,0.0,0.0,0.0,267033.9468870894,0.0,0.0,57010.50501159421,1881.978831953391,12.91751041890697,37.11544166866667,0.0,0.0,900.3576346789022,1138.736345535157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.7116009189364,53831679811434.47,0.0,0.0,0.0,0.0,0.0,0.0,237.77449858188626,0.0,0.0,163.5,8284.150469910044,3015.746120864639,15328.731240877714,43719780057.0,28418988061.0,0.0,0.0,0.0
1978-01-01,8310.297190207426,0.0,1123708053.17,197358.1,1920.7741324025471,0.0,0.0,0.0,0.0,280587.04507769964,0.0,0.0,57585.12860984268,1565.855120974469,3.101271618248159,41.74498333691674,0.0,0.0,891.9043916053361,1204.0427224642726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.843055489763,63976096248284.984,0.0,0.0,0.0,0.0,0.0,0.0,203.22924983501431,0.0,0.0,95.3,8236.919454630639,2975.310123416033,15550.45086297437,44531924525.0,28783193647.0,0.0,0.0,0.0
1979-01-01,8322.13462647755,0.0,1123707737.43,197358.1,2085.986763424835,0.0,0.0,0.0,0.0,297654.94263010804,0.0,0.0,58314.88135925461,1804.91377057102,-57.12321644875155,48.43574167058319,0.0,0.0,866.0795468719537,1181.8995263459485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.7001130857824,75166629464031.42,0.0,0.0,0.0,0.0,0.0,0.0,243.06240904331213,0.0,0.0,274.9,8225.114450448611,2922.4235116616546,15572.037596023165,45366321552.0,29124684164.0,0.0,0.0,0.0
1980-01-01,8337.99386782494,0.0,1123705687.43,197358.1,2443.881465030614,0.0,0.0,0.0,0.0,307414.901544156,0.0,0.0,59011.77517634483,2336.2110216648025,-71.09668227662522,53.92046966354079,0.0,0.0,897.7643892562985,1238.634768406256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.6642683774245,86290203382453.7,0.0,0.0,0.0,0.0,0.0,0.0,295.28596293926233,0.0,0.0,277.3,8201.365672026286,2883.171416004096,15744.288033655122,46208043118.0,29457305194.0,0.0,0.0,0.0
1981-01-01,8352.995191022706,0.0,1123706127.43,197358.1,2521.042817750024,0.0,0.0,0.0,0.0,315821.623119369,0.0,0.0,59931.94526228938,2441.616463023307,84.51950046976984,63.17428020331821,0.0,0.0,915.9885509968599,1324.9386982224332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.203912717977,89193740948658.06,0.0,0.0,0.0,0.0,0.0,0.0,242.20735991001132,0.0,0.0,433.8,8145.301818601414,2825.128903908957,15832.292802728303,47070599933.0,29791202203.0,0.0,0.0,0.0
1982-01-01,8363.97808187018,0.0,1123704797.43,197337.1,2699.152886505205,0.0,0.0,0.0,0.0,322855.6100233224,0.0,0.0,61137.59992525424,2227.094450842302,223.04277462405383,80.44950466162327,0.0,0.0,876.7717457522864,1376.5851609512763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.374937803923,87454743902265.55,0.0,0.0,0.0,0.0,0.0,0.0,281.1816974878311,0.0,0.0,223.1,8109.276150002766,2798.3617965897542,15895.141834983186,47973281623.0,30164132494.0,0.0,0.0,0.0
1983-01-01,8361.425715840514,0.0,1123704477.43,197358.1,2602.2958713330786,0.0,0.0,0.0,0.0,335201.87428044295,0.0,0.0,62312.17839507727,2497.065224535819,164.97702765441937,93.97839146266172,0.0,0.0,901.7869379355806,1382.504182905705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.3760080142638,89030828706012.58,0.0,0.0,0.0,0.0,0.0,0.0,255.51603209972384,0.0,0.0,242.2,8052.711081402701,2785.573827566627,15967.011499493061,48883646621.0,30551175681.0,0.0,0.0,0.0
1984-01-01,8393.821454373123,0.0,1123695557.91,197358.1,2596.4959878528025,0.0,0.0,0.0,0.0,360356.7760873221,0.0,0.0,63517.32228164072,3603.1495133045046,103.49345345498962,92.45842205360857,0.0,0.0,898.850460832823,1365.2654568414455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.7281720431062,91580384821269.06,0.0,0.0,0.0,0.0,0.0,0.0,270.5141102075576,0.0,0.0,344.4,8003.567624267989,2758.4141533391526,16048.17155708884,49791649192.0,30921895675.0,0.0,0.0,0.0
1985-01-01,8409.310321126057,0.0,1123694958.39,197358.1,2726.6366152286505,0.0,0.0,0.0,0.0,373681.0321141154,0.0,0.0,64697.0004668098,14011.100162187728,69.31926868987343,102.76876070580663,0.0,0.0,943.4720825681001,1415.7953741856352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.5587824725858,94660841246049.16,0.0,0.0,0.0,0.0,0.0,0.0,248.79221636056903,0.0,0.0,516.4,7941.64451857216,2725.1278518509644,16122.100298650452,50718944750.0,31295475094.0,0.0,0.0,0.0
