,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
37,1997-01-01,9494.417124037176,8342.934298063243,1363764841.592,211910.1,3642.335286374611,0.0,0.0,14452.67186480187,8322.051258358559,554749.0238337402,192332040.79944,288839224.122102,80577.02873191949,3310.549752519029,942.6430607532056,402.5782925574943,83.01799429496273,3263.85761419335,1725.9707914122362,2543.5546340577575,0.0,0.0,0.0,0.0,0.0,0.0,526.4340906791076,0.0,459.0333707068763,237809301884625.03,0.0,0.0,0.0,0.0,0.0,0.0,166.9292150735855,0.0,0.0,1333.1,6623.157217335506,2421.8712692929753,17031.531671992885,62347607121.0,35556104484.0,0.0,0.0,932.688119517276
38,1998-01-01,9502.66013824377,8336.68580060343,1363478593.284,211931.1,3696.474276295838,-2.3505309093743834,46.97095769643781,14990.775097560796,8275.974075601169,570889.3684801697,193619011.45474,290989493.928,81714.56223468538,1823.749533866706,1154.4185129569155,352.27590767186433,79.10300064901082,4056.0766236205586,1721.939004025823,2715.0200292863083,-2.6096489280462296,43.72550968825816,0.0,0.0,0.0,0.0,861.0084240159472,0.0,469.37033845921735,237567346084456.88,-1.2784792818128576,71.10993397235868,-2.908072008285639,54.60418988764287,-3.0336101818829686,61.45724922418593,415.48787200450903,0.0,0.0,1847.7,6493.861068943405,2439.522959788146,17053.73403114442,63286046089.0,35845694670.0,-2.0140436617658226,48.5258605927229,882.8133220406228
39,1999-01-01,9516.507690362005,8324.258858446758,1363553374.97,211931.1,3850.77490767258,0.0,0.0,15587.074684415347,8265.11649450759,580762.3325441248,194223935.940225,292144913.451123,82651.2416404219,2250.0040428813863,914.9435656654882,299.17955685894935,88.00912286651996,3729.9708037881273,1793.4064460528557,2675.442432632702,0.0,0.0,0.0,0.0,0.0,0.0,1328.8967524140048,0.0,485.8851822208842,241767195738988.62,0.0,0.0,0.0,0.0,0.0,0.0,657.3305592536926,0.0,0.0,1519.4,6398.152530756134,2380.5699444510806,17151.967752355755,64215645360.0,36122388406.0,0.0,0.0,881.8187740917742
40,2000-01-01,9597.363389414457,8368.256842351922,1364459342.336,210756.1,3894.367347361717,-2.4194084741175397,49.766531169414534,19291.860976159765,8243.57864174315,603212.7105714384,200583484.107186,299829201.715536,84060.86366036086,2336.675515227944,742.0199292162504,363.65227459972795,96.896053545994,3145.528772808637,1675.8226232348786,2537.3323688795576,-2.4427851426880745,45.64830234646798,0.0,0.0,0.0,0.0,1974.7249921749471,0.0,453.0356542693984,250070986438032.62,-1.0560828909947209,71.06346702575681,-3.014156726305397,48.66274720430376,-3.071148929418998,55.59056635200978,728.9830279350282,674.8393536426448,0.0,2033.1,6334.778599305149,2336.9548194699337,17340.600577952664,65140124693.0,36382004336.0,-2.079941838979723,45.27081914246083,993.0356144556424
41,2001-01-01,9584.11117384169,8358.087142796834,1364446468.21,211931.1,4026.811333764314,0.0,0.0,19430.975654544844,8134.563913366631,612052.6954747945,204726160.350811,304278106.97960603,79924.69664002159,1838.2170468486163,1058.4470645861552,398.3495398915218,103.03689361720996,3088.9288694830193,1752.2886000331523,2693.2049800056466,0.0,0.0,0.0,0.0,0.0,0.0,2449.9425497708403,0.0,440.7574258045481,249427536755595.75,0.0,0.0,0.0,0.0,0.0,0.0,708.3805613517761,686.2542130457281,0.0,1677.0,6232.4862397801035,2311.2033418276937,17353.117154614552,66066420884.0,36595606261.0,0.0,0.0,1102.6474048445791
42,2002-01-01,9574.95308131308,8348.666405967007,1364419781.37,211910.1,4143.720001718069,-2.319647887838113,45.78635314106942,19566.775160379297,8162.493156374965,624333.4506460776,208557912.287872,309318885.925951,80095.6775079458,1227.7235289833336,1054.9554923885428,458.3830353724573,103.303711831874,3264.606862311705,1817.5922102374664,2902.8548496742965,-2.41281051188708,39.64377799630164,0.0,0.0,0.0,0.0,3200.281510036203,0.0,443.60884521183874,259390841240265.2,-1.5483355491887871,65.81516328454019,-3.020472936332195,51.27620513737201,-2.890162989497185,46.21095302700994,749.0607401132585,687.9959648373045,0.0,2376.1,6144.935114723485,2295.698930994026,17422.730568919746,66995501170.0,36775209325.0,-2.097242721822131,39.20031017065049,1170.578712019271
43,2003-01-01,9558.558915666046,8338.068441804631,1364496109.528,211931.1,4204.790981753522,-2.5223847888410753,42.35006390511989,19741.598612855236,8078.350753066084,638518.9413387369,220142305.469856,323123857.716293,80742.51755512418,1226.6687214941255,909.7228828503396,387.45013192463864,109.9792913226468,3204.251584756529,1890.3958494505976,3002.704989103654,-2.583712199702839,43.05824697017673,0.0,0.0,120.4,0.0,3690.4779960465057,0.0,433.97476422458624,292640280161473.25,-1.8027229313739144,64.47554004192352,-2.879253241000681,50.22368569672107,-2.8620934644713643,38.11029075086116,674.3189260959625,703.5646874655612,0.0,2357.3,6076.203242224803,2277.512804921429,17498.489254847136,67923764214.0,36942794999.0,-2.120122657273883,38.971147313714,1067.8013565612332
44,2004-01-01,9503.935854794405,8324.73782361735,1366697830.391,211931.1,4481.626147363673,-4.910114269703632,43.35456071794032,19856.941910880916,8013.409933393014,651684.1750726216,231812974.011453,337545421.567434,81097.55227037353,1106.70878545375,628.0877925385331,448.79590993273825,110.65426660883516,3051.8863877010253,1955.8421884460004,2998.1404403202487,-5.98548444733025,47.19884105026723,0.0,0.0,55.5,0.0,4317.829710203788,0.0,408.8943707702448,332645784376864.44,-3.943627985427146,63.09248217940328,-5.613199700135756,45.26424403488636,-5.235415137634822,42.886613473296165,721.7569721937178,698.2185356448654,0.0,2654.1,6068.624300950908,2263.6286523677018,17591.483247798005,68853652679.0,37096421313.0,-4.786938847042562,38.29107458889483,1133.166650522507
45,2005-01-01,9485.64652789392,8314.390672796882,1366727998.689,211931.1,4844.03646857104,-6.21096044033766,39.959801182150834,19982.04668364576,8032.870297491467,670647.5770469031,242437591.783891,350435515.603585,82159.89287921465,1287.4381601467046,650.2993625026543,463.8952923416428,111.6108476929389,3118.8335158650375,2174.3770907560593,3061.8104228829907,-6.966079318895932,42.14397129416466,0.0,0.0,56.0,0.0,4866.791234529153,0.0,388.08096659139136,364401890516620.75,-4.5508646829985056,62.11439260840418,-7.423563187825408,42.670955598354325,-6.303114074282347,35.18892394006252,678.6474891901016,699.1948167462522,0.0,2967.0,5995.524337311084,2231.410197933662,17741.894398570923,69788035528.0,37238306141.0,-4.952044380028375,38.1049295514822,1088.2179282213267
46,2006-01-01,9551.412788513871,8389.858537952949,1367854720.361,211931.1,4972.617454444344,-5.953349666669976,40.16097737848759,20229.691917891498,7951.143527802023,685576.2964007276,252506949.881156,362317888.098011,83023.70457984957,1277.6798382103093,576.204288705352,431.26711832567264,113.19542436783988,3085.0239430121915,2301.4866235395775,3121.799446394002,-6.633684321306619,46.605538919568055,0.0,0.0,1144.1,0.0,5447.100475392551,0.0,374.3261471831648,400201921565279.0,-4.7412715528625995,58.979565709829345,-6.803392896894337,41.173667579889305,-6.4508085851557535,41.84269095957279,687.7444576621057,691.4960295294308,0.0,2909.5,5976.798761097883,2200.583041403915,17768.47838414255,70726561262.0,37377191168.0,-4.3834340292960015,32.655638456344604,1113.670581461818
